turn_id;speaker;utterance;dialogue_act
0; USER ; I need train reservations from norwich to cambridge;Train-Inform
1; SYSTEM ; I have 133 trains matching your request. Is there a specific day and time you would like to travel?;Train-Inform
2; USER ; I'd like to leave on Monday and arrive by 18:00.;Train-Inform
3; SYSTEM ; There are 12 trains for the day and time you request. Would you like to book it now?;Train-Inform
4; USER ; Before booking, I would also like to know the travel time, price, and departure time please.;Train-Request
5; SYSTEM ; There are 12 trains meeting your needs with the first leaving at 05:16 and the last one leaving at 16:16. Do you want to book one of these?;Train-Inform
6; USER ; No hold off on booking for now. Can you help me find an attraction called cineworld cinema?;Attraction-Inform
7; SYSTEM ; Yes it is a cinema located in the south part of town what information would you like on it?;Attraction-Inform
8; USER ; Yes, that was all I needed. Thank you very much!;general-thank
9; SYSTEM ; Thank you for using our system.;general-bye
0; USER ; Hello, I am looking for a restaurant in Cambridge. I believe it is called Golden Wok.;Restaurant-Inform
1; SYSTEM ; It is located at 191 Histon Road Chesterton;Restaurant-Inform
2; USER ; Can you book me a table for 11:00 on Friday?;Restaurant-Inform
3; SYSTEM ; Yes I can! Table for 1?;Booking-Inform
4; USER ; Actually, for 4, please.;Restaurant-Inform
5; SYSTEM ; Okay, your booking was successful! The reference number is MUFCMYFF . The table will be reserved for 15 minutes.;Booking-Book
6; USER ; Great, can you also get me information or architecture in the area;Attraction-Inform
7; SYSTEM ; Sure. There are several churches and an old schools attraction, all in the centre area. Do you have a preference?;Attraction-Inform
8; USER ; What do you recommend?;
9; SYSTEM ; old schools is lovely, they are on trinity lane and free admission;Attraction-Inform
10; USER ; Can I get the postcode for that? I also need to book a taxi to the Golden Wok.;Attraction-Request
11; SYSTEM ; The postcode is cb21tt. Are you looking for a taxi from Old Schools to the Golden Wok?;Attraction-Inform
12; USER ; Yes I do. I'd like to make sure I arrive at the restaurant by the booked time. Can you check?;Taxi-Inform
13; SYSTEM ; What time do you want to leave?;Taxi-Request
14; USER ; Actually all you have to do is set the taxi so it arrives by the arrived time. Am I better off booking it myself?;Taxi-Inform
15; SYSTEM ; I have booked you a taxi for Friday to arrive at Old Schools at 10:45. Is there anything else I may help you with?;Taxi-Inform
16; USER ; I need the contact number and car type also.;Taxi-Request
17; SYSTEM ; it is a Lexus white in colour and contact number is 07381884388;Taxi-Inform
18; USER ; Thanks for the service, good day.;general-thank
19; SYSTEM ; You're welcome! Have a great day!;general-bye
0; USER ; Hi, I'm looking for a hotel to stay in that includes free wifi. I'm looking to stay in a hotel, not a guesthouse.;Hotel-Inform
1; SYSTEM ; Yes I have many options. What is your preferred price point?;Hotel-Inform
2; USER ; I would like one in the moderate price range and with free parking.;Hotel-Inform
3; SYSTEM ; I would recommend the Lovell Lodge. It is indeed a hotel despite it's name and is very cute.;Hotel-Inform
4; USER ; Okay, please book that for 3 people and 2 nights starting from Friday.;Hotel-Inform
5; SYSTEM ; Booking was successful. Reference number is : 9HMD04UW . anything else?;Booking-Book
6; USER ; I would love to find a restaurant in the same price range as the Lovell Lodge.;Restaurant-Inform
7; SYSTEM ; In what area?;Restaurant-Request
8; USER ; I would like the west please.;Restaurant-Inform
9; SYSTEM ; I'd recommend prezzo, its an italian restaurant on 21 - 24 Northampton Road. Would you like a table?;Booking-Inform
10; USER ; I'm sorry. I actually need a restaurant in the centre.;Restaurant-Inform
11; SYSTEM ; We have more than 20 moderately priced restaurants in the centre of town. Do you have a preference for cuisine?;Restaurant-Inform
12; USER ; I would like chinese. I would like that for 7pm.;Restaurant-Inform
13; SYSTEM ; We have three moderate Chinese restaurants in the centre. May I suggest the Lan Hong House?;Restaurant-Inform
14; USER ; Sounds great, thanks! Actually, can you please just tell me the postcode and address?;Restaurant-Request
15; SYSTEM ; cb23pp postcode and the address is 11 Peas Hill City Centre;Restaurant-Inform
16; USER ; I will also need a taxi to take me between the two place. Leaving from the restaurant at 24:30;Taxi-Inform
17; SYSTEM ; How many people for the taxi?;Taxi-Request
18; USER ; I don't think that matters. Can you just make sure I leave the restaurant to the hotel no later than 24:30.;Hotel-Inform
19; SYSTEM ; Your taxi has been booked. It will be a black Toyota and the contact number is 07757106249.;Taxi-Inform
20; USER ; Thank you so much for your help.;general-thank
21; SYSTEM ; Enjoy your stay! Let us know if we can be of any further assistance.;general-bye
0; USER ; I am looking for a place to stay in the north of the city. I would prefer a 4 star hotel please.;Hotel-Inform
1; SYSTEM ; There are several guesthouses available. Do you have a price reference?;Hotel-Inform
2; USER ; No price preference needed;Hotel-Request
3; SYSTEM ; The home from home guesthouse hotel is located in the north, has a 4 star rating, and is moderately priced. Would you like me to book it for you?;Booking-Inform
4; USER ; Does it have free wifi?;Hotel-Inform
5; SYSTEM ; How about the Avalon guesthouse?;Hotel-Inform
6; USER ; I think that would be fine.;
7; SYSTEM ; What day would you like to stay? How many days?;Booking-Request
8; USER ; I would like it book for Sunday for 5 people and 3 nights. Can I have the booking number please.;Hotel-Inform
9; SYSTEM ; The hotel is booked and your reference number is 0DJU3C37 . Can I help you with anything else?;Booking-Book
10; USER ; I also need a train that departs from cambridge.;Train-Inform
11; SYSTEM ; What is your desired destination?;Train-Request
12; USER ; I would like to visit Leicester on Wednesday.;Train-Inform
13; SYSTEM ; There are 19 trains to Leicester on that day. Do you know what time you'd like to leave or arrive by?;Train-Inform
14; USER ; I need to be in Leicester by 19:15.;Train-Inform
15; SYSTEM ; Train TR1745 will get you there by 19:06. Do you want tickets for that?;Train-Inform
16; USER ; I need the departure time for that train.;Train-Request
17; SYSTEM ; No problem! The departure time for TR1745 is 17:21. Will that work?;Train-Inform
18; USER ; What is the price for that train?;Train-Inform
19; SYSTEM ; It is 37.80 pounds per person.;Train-Inform
20; USER ; Thank you, I think that is all I need for today.;general-thank
21; SYSTEM ; Great! Hope you enjoy your trip!;general-greet
0; USER ; I need a place to dine, and I'd like to know what's available so far as cheap Asian Oriental food.;Restaurant-Inform
1; SYSTEM ; You must try dojo noodle bar in the centre of town! Want a reservation?;Booking-Inform
2; USER ; I need to get the address please.;Restaurant-Request
3; SYSTEM ; Sure thing. The address is 40210 Millers Yard City Centre.;Restaurant-Inform
4; USER ; Great. I also need a train.;Train-Inform
5; SYSTEM ; Sure, I can help you with that. Where are you departing from?;Train-Request
6; USER ; I am departing from ely to cambridge and I need to leave after 20:45 on tuesday.;Train-Inform
7; SYSTEM ; great, the TR1992 leaves at 21:35. would that work for you?;Train-Inform
8; USER ; Yes, please book 5 seats for me.;Train-Inform
9; SYSTEM ; I will book the reservation now.;Train-OfferBook
10; USER ; Okay thanks, I will need the reservation number.;general-thank
11; SYSTEM ; Booking was successful, the total fee is 22 GBP payable at the station. Reference number is : UAGCF8LW . Is there anything else I can help with?;Train-OfferBooked
12; USER ; Great no. That was it. Thank you.;general-thank
13; SYSTEM ; Happy to assist. Let me know if there is anything else you need.;general-reqmore
14; USER ; No thanks again for all of your help;general-thank
15; SYSTEM ; Okay, thank you and goodbye!;general-bye
0; USER ; I am planning a trip in Cambridge;Attraction-Inform
1; SYSTEM ; What can I help you with?;general-reqmore
2; USER ; I need to reserve a table at shiraz, can you help me?;Restaurant-Inform
3; SYSTEM ; I sure can. Shiraz is an expensive mediterranean place in the centre of town. What day would you like your reservation?;Booking-Request
4; USER ; I need the reservation for Saturday.;Restaurant-Inform
5; SYSTEM ; Ok, i am getting the info up now, how many people will this be for and what time?;Booking-Request
6; USER ; There will be 5 of us and 19:45 would be great.;Restaurant-Inform
7; SYSTEM ; I have made your reservation. Your reference number is T9VU6COP .;Booking-Book
8; USER ; I also need to book a train.;Train-Inform
9; SYSTEM ; Great! Where are you going, and when would you like to arrive?;Train-Request
10; USER ; We are departing from Birmingham New Street and going to Cambridge.;Train-Inform
11; SYSTEM ; Great, what day and time would you like to leave?;Train-Request
12; USER ; I want to travel on saturday and arrive by 13:15 please;Train-Inform
13; SYSTEM ; Okay, I see 7 trains here matching your needs. Would you like me to reserve tickets?;Train-Inform
14; USER ; Yes choose the arrival time closest to 13:15 and book that train for 5 people. Then give me the reference number;Train-Inform
15; SYSTEM ; Okay, you are booked and reference number is QSA8VDXW;Train-OfferBooked
16; USER ; Thank you so much.;general-thank
17; SYSTEM ; Is there anything else I can help you with?;general-reqmore
18; USER ; No, that will be all. Thanks.;general-thank
19; SYSTEM ; Your welcome enjoy your trip;general-bye
0; USER ; I am looking for information in Cambridge;Attraction-Inform
1; SYSTEM ; Ok sure. What would you like to know ?;general-greet
2; USER ; I have an upcoming conference in Cambridge and need to figure out transportation. Can you tell me about a train to take maybe?;Train-Inform
3; SYSTEM ; Absolutely. Where are you heading in from? What day?;Train-Request
4; USER ; I'll be leaving London Kings Cross and heading to Cambridge. I need to be there by 10:30 on Tuesday. Can you book this for 3 people? Reference please?;Train-Inform
5; SYSTEM ; I have a train arriving at 10:08. Would that do?;Train-OfferBook
6; USER ; yes. book for 3 people.;Train-Inform
7; SYSTEM ; Alright got you booked on train TR4987, the total fee is 70.8 GBP payable at the station. Your reference number is : 9UPRWUHB . Anything else I can help with today?;Train-OfferBooked
8; USER ; Yes I am looking for someplace to go in the south for entertainment.;Attraction-Inform
9; SYSTEM ; we have two options, can i reccomend for you?;Attraction-Inform
10; USER ; Which ever is nicer. I will need some info on it too.;Attraction-Request
11; SYSTEM ; I recommend tenpin it's in cambridge leisure park, clifton way postcode cb17dy and their number is 08715501010. Is there anything else I can help with today?;Attraction-Recommend
