turn_id;utterance;speaker;intents
0;I need train reservations from norwich to cambridge;USER;find_train,
1;I have 133 trains matching your request. Is there a specific day and time you would like to travel?;SYSTEM;
2;I'd like to leave on Monday and arrive by 18:00.;USER;find_train,
3;There are 12 trains for the day and time you request. Would you like to book it now?;SYSTEM;
4;Before booking, I would also like to know the travel time, price, and departure time please.;USER;find_train,
5;There are 12 trains meeting your needs with the first leaving at 05:16 and the last one leaving at 16:16. Do you want to book one of these?;SYSTEM;
6;No hold off on booking for now. Can you help me find an attraction called cineworld cinema?;USER;find_attraction,
7;Yes it is a cinema located in the south part of town what information would you like on it?;SYSTEM;
8;Yes, that was all I needed. Thank you very much!;USER;
9;Thank you for using our system.;SYSTEM;
0;Hello, I am looking for a restaurant in Cambridge. I believe it is called Golden Wok.;USER;find_restaurant,
1;It is located at 191 Histon Road Chesterton;SYSTEM;
2;Can you book me a table for 11:00 on Friday?;USER;book_restaurant,find_taxi,
3;Yes I can! Table for 1?;SYSTEM;
4;Actually, for 4, please.;USER;book_restaurant,
5;Okay, your booking was successful! The reference number is MUFCMYFF . The table will be reserved for 15 minutes.;SYSTEM;
6;Great, can you also get me information or architecture in the area;USER;find_attraction,
7;Sure. There are several churches and an old schools attraction, all in the centre area. Do you have a preference?;SYSTEM;
8;What do you recommend?;USER;find_attraction,
9;old schools is lovely, they are on trinity lane and free admission;SYSTEM;
10;Can I get the postcode for that? I also need to book a taxi to the Golden Wok.;USER;find_taxi,book_restaurant,find_attraction,
11;The postcode is cb21tt. Are you looking for a taxi from Old Schools to the Golden Wok?;SYSTEM;
12;Yes I do. I'd like to make sure I arrive at the restaurant by the booked time. Can you check?;USER;find_taxi,
13;What time do you want to leave?;SYSTEM;
14;Actually all you have to do is set the taxi so it arrives by the arrived time. Am I better off booking it myself?;USER;find_taxi,
15;I have booked you a taxi for Friday to arrive at Old Schools at 10:45. Is there anything else I may help you with?;SYSTEM;
16;I need the contact number and car type also.;USER;find_taxi,
17;it is a Lexus white in colour and contact number is 07381884388;SYSTEM;
18;Thanks for the service, good day.;USER;
19;You're welcome! Have a great day!;SYSTEM;
0;Hi, I'm looking for a hotel to stay in that includes free wifi. I'm looking to stay in a hotel, not a guesthouse.;USER;find_hotel,
1;Yes I have many options. What is your preferred price point?;SYSTEM;
2;I would like one in the moderate price range and with free parking.;USER;find_hotel,find_restaurant,
3;I would recommend the Lovell Lodge. It is indeed a hotel despite it's name and is very cute.;SYSTEM;
4;Okay, please book that for 3 people and 2 nights starting from Friday.;USER;book_hotel,
5;Booking was successful. Reference number is : 9HMD04UW . anything else?;SYSTEM;
6;I would love to find a restaurant in the same price range as the Lovell Lodge.;USER;find_restaurant,
7;In what area?;SYSTEM;
8;I would like the west please.;USER;find_restaurant,
9;I'd recommend prezzo, its an italian restaurant on 21 - 24 Northampton Road. Would you like a table?;SYSTEM;
10;I'm sorry. I actually need a restaurant in the centre.;USER;find_restaurant,
11;We have more than 20 moderately priced restaurants in the centre of town. Do you have a preference for cuisine?;SYSTEM;
12;I would like chinese. I would like that for 7pm.;USER;book_restaurant,
13;We have three moderate Chinese restaurants in the centre. May I suggest the Lan Hong House?;SYSTEM;
14;Sounds great, thanks! Actually, can you please just tell me the postcode and address?;USER;book_restaurant,
15;cb23pp postcode and the address is 11 Peas Hill City Centre;SYSTEM;
16;I will also need a taxi to take me between the two place. Leaving from the restaurant at 24:30;USER;find_taxi,
17;How many people for the taxi?;SYSTEM;
18;I don't think that matters. Can you just make sure I leave the restaurant to the hotel no later than 24:30.;USER;find_taxi,book_hotel,
19;Your taxi has been booked. It will be a black Toyota and the contact number is 07757106249.;SYSTEM;
20;Thank you so much for your help.;USER;
21;Enjoy your stay! Let us know if we can be of any further assistance.;SYSTEM;
0;I am looking for a place to stay in the north of the city. I would prefer a 4 star hotel please.;USER;find_hotel,
1;There are several guesthouses available. Do you have a price reference?;SYSTEM;
2;No price preference needed;USER;find_hotel,
3;The home from home guesthouse hotel is located in the north, has a 4 star rating, and is moderately priced. Would you like me to book it for you?;SYSTEM;
4;Does it have free wifi?;USER;find_hotel,
5;How about the Avalon guesthouse?;SYSTEM;
6;I think that would be fine.;USER;find_hotel,
7;What day would you like to stay? How many days?;SYSTEM;
8;I would like it book for Sunday for 5 people and 3 nights. Can I have the booking number please.;USER;book_hotel,
9;The hotel is booked and your reference number is 0DJU3C37 . Can I help you with anything else?;SYSTEM;
10;I also need a train that departs from cambridge.;USER;find_train,
11;What is your desired destination?;SYSTEM;
12;I would like to visit Leicester on Wednesday.;USER;find_train,
13;There are 19 trains to Leicester on that day. Do you know what time you'd like to leave or arrive by?;SYSTEM;
14;I need to be in Leicester by 19:15.;USER;find_train,
15;Train TR1745 will get you there by 19:06. Do you want tickets for that?;SYSTEM;
16;I need the departure time for that train.;USER;find_train,
17;No problem! The departure time for TR1745 is 17:21. Will that work?;SYSTEM;
18;What is the price for that train?;USER;find_train,
19;It is 37.80 pounds per person.;SYSTEM;
20;Thank you, I think that is all I need for today.;USER;
21;Great! Hope you enjoy your trip!;SYSTEM;
0;I need a place to dine, and I'd like to know what's available so far as cheap Asian Oriental food.;USER;find_restaurant,
1;You must try dojo noodle bar in the centre of town! Want a reservation?;SYSTEM;
2;I need to get the address please.;USER;find_restaurant,
3;Sure thing. The address is 40210 Millers Yard City Centre.;SYSTEM;
4;Great. I also need a train.;USER;find_train,
5;Sure, I can help you with that. Where are you departing from?;SYSTEM;
6;I am departing from ely to cambridge and I need to leave after 20:45 on tuesday.;USER;find_train,
7;great, the TR1992 leaves at 21:35. would that work for you?;SYSTEM;
8;Yes, please book 5 seats for me.;USER;book_train,
9;I will book the reservation now.;SYSTEM;
10;Okay thanks, I will need the reservation number.;USER;book_train,
11;Booking was successful, the total fee is 22 GBP payable at the station. Reference number is : UAGCF8LW . Is there anything else I can help with?;SYSTEM;
12;Great no. That was it. Thank you.;USER;
13;Happy to assist. Let me know if there is anything else you need.;SYSTEM;
14;No thanks again for all of your help;USER;
15;Okay, thank you and goodbye!;SYSTEM;
0;I am planning a trip in Cambridge;USER;find_train,
1;What can I help you with?;SYSTEM;
2;I need to reserve a table at shiraz, can you help me?;USER;find_restaurant,
3;I sure can. Shiraz is an expensive mediterranean place in the centre of town. What day would you like your reservation?;SYSTEM;
4;I need the reservation for Saturday.;USER;book_restaurant,find_train,
5;Ok, i am getting the info up now, how many people will this be for and what time?;SYSTEM;
6;There will be 5 of us and 19:45 would be great.;USER;book_restaurant,
7;I have made your reservation. Your reference number is T9VU6COP .;SYSTEM;
8;I also need to book a train.;USER;find_train,
9;Great! Where are you going, and when would you like to arrive?;SYSTEM;
10;We are departing from Birmingham New Street and going to Cambridge.;USER;find_train,
11;Great, what day and time would you like to leave?;SYSTEM;
12;I want to travel on saturday and arrive by 13:15 please;USER;book_restaurant,find_train,
13;Okay, I see 7 trains here matching your needs. Would you like me to reserve tickets?;SYSTEM;
14;Yes choose the arrival time closest to 13:15 and book that train for 5 people. Then give me the reference number;USER;book_train,
15;Okay, you are booked and reference number is QSA8VDXW;SYSTEM;
16;Thank you so much.;USER;
17;Is there anything else I can help you with?;SYSTEM;
18;No, that will be all. Thanks.;USER;
19;Your welcome enjoy your trip;SYSTEM;
0;I am looking for information in Cambridge;USER;find_train,
1;Ok sure. What would you like to know ?;SYSTEM;
2;I have an upcoming conference in Cambridge and need to figure out transportation. Can you tell me about a train to take maybe?;USER;find_train,
3;Absolutely. Where are you heading in from? What day?;SYSTEM;
4;I'll be leaving London Kings Cross and heading to Cambridge. I need to be there by 10:30 on Tuesday. Can you book this for 3 people? Reference please?;USER;book_train,
5;I have a train arriving at 10:08. Would that do?;SYSTEM;
6;yes. book for 3 people.;USER;book_train,
7;Alright got you booked on train TR4987, the total fee is 70.8 GBP payable at the station. Your reference number is : 9UPRWUHB . Anything else I can help with today?;SYSTEM;
8;Yes I am looking for someplace to go in the south for entertainment.;USER;find_attraction,
9;we have two options, can i reccomend for you?;SYSTEM;
10;Which ever is nicer. I will need some info on it too.;USER;find_attraction,
11;I recommend tenpin it's in cambridge leisure park, clifton way postcode cb17dy and their number is 08715501010. Is there anything else I can help with today?;SYSTEM;
12;No, that's all I needed today. Thanks for your help, it's much appreciated.;USER;
13;Thank you for using our service!;SYSTEM;
0;I need a train that will be in Cambridge by 3:00;USER;find_train,
1;What day will you be travelling?;SYSTEM;
2;I will be travelling on Wednesday.;USER;find_train,
3;Alright, where will you be departing?;SYSTEM;
4;I'm leaving out of London King's Cross.;USER;find_train,
5;What time do you need to be there by? Is it 13:00?;SYSTEM;
6;No, I need to arrive by 14:00.;USER;find_train,
7;I have only one train that would be close to those traveling times. It leaves London Kings Cross at 11:17 and arrives in Cambridge at 12:08.;SYSTEM;
8;Can I get a ticket for 1 person and the reference number please.;USER;book_train,
9;I was able to book you 1 ticket on train TR2417. Your total cost is 23.6 GBP payable at the station. Your reference number is T9V9S3I3 .;SYSTEM;
10;Thank you. I think that's all I need.;USER;
11;You're welcome. Have a safe trip. Goodbye.;SYSTEM;
0;I need to leave peterborough and arrive by 20:45. Can you book a train for me?;USER;find_train,
1;What time would you like to depart?;SYSTEM;
2;I will depart any time so long as the train arrives by 20:45.;USER;find_train,
3;OK, and what day do you need to travel?;SYSTEM;
4;Oh, I need to leave this Saturday. Just to clarify I want to leave Peterborough going to Cambridge.;USER;find_train,
5;TR7143 will arrive in Cambridge Saturday by 20:38, it will depart peterborough at 19:48. Does this suit your needs?;SYSTEM;
6;Yes that is perfect. Can you book that and give me a reference number?;USER;book_train,
7;Yes I booked it and your reference number is 6793D7ED . Will there be anything else?;SYSTEM;
8;No, I think that's going to be all I needed. Thanks. Have a good day.;USER;
9;Thank you, Enjoy your day, goodbye.;SYSTEM;
0;Where is a 4 star hotel located in North Cambridge?;USER;find_hotel,find_restaurant,
1;I have several options, almost all of which are moderate guesthouses. I do have one cheap one, too. Would you like to book a room?;SYSTEM;
2;Sure , that could be nice;USER;
