;Tweet_ID;dialogue_id;Median_Multiclass;sentiment;Annot_1_M;Annot_2_M;Annot_3_M;Annot_1_B;Annot_2_B;Annot_3_B;Speaker;Acc_Query;Msg
0;1511376377634820099;0;-1;0;-1;-1;-1;0;0;0;USER;NOWO;@nowoportugal alô, preciso de internet pelo menos, ajudem me
1;1511381756582182915;0;0;1;0;0;0;1;1;1;SERVICE;NOWO;"Olá @Paulozxl lamentamos a situação que nos reporta, mas existe uma anomalia a decorrer em algumas zonas do país.
No entanto, a nossa equipa técnica já se encontra a retificar esta situação.
Estamos ao seu dispor para ajudar.
Obrigado e até breve!"
2;1511370426991194122;1;-2;0;-1;-2;-2;0;0;0;USER;NOWO;@nowoportugal Posso terminar o contrato e mudar para outra operadora sem custos? Ja que voces nao tem capacidade de fornecer um servico basico.
3;1511376424648720396;1;0;1;0;0;0;1;1;1;SERVICE;NOWO;"Olá @mpnm77 lamentamos a situação que se sinta assim, mas existe uma anomalia a decorrer em algumas zonas do país.
No entanto, a nossa equipa técnica já se encontra a retificar esta situação.
Estamos ao seu dispor para ajudar.
Obrigado e até breve!"
4;1511340919290830857;2;-1;0;-1;-1;-1;0;0;0;USER;NOWO;@nowoportugal sem sinal de Nowo, tampoco net
5;1511365848656666624;2;0;1;0;0;0;1;1;1;SERVICE;NOWO;"Olá @doradarocha, lamentamos a situação, mas existe uma anomalia a decorrer em algumas zonas do país.
Contamos ser breves a retificar esta situação.
Poderá acompanhar o estado da anomalia através do link https://t.co/SKUW5o6dtT.
Estamos ao seu dispor.
Obrigado e até breve!"
6;1511339877815750656;3;-1;0;-1;-1;-1;0;0;0;USER;NOWO;@nowoportugal têm o serviço de net em baixo e eu a precisar de trabalhar, até quando se vai manter a situação?
7;1511364833027018754;3;0;1;0;0;0;1;1;1;SERVICE;NOWO;"Olá @pngantunes, lamentamos a situação, mas existe uma anomalia a decorrer em algumas zonas do país.
Contamos ser breves a retificar esta situação.
Poderá acompanhar o estado da anomalia através do link https://t.co/SKUW5o6dtT.
Estamos ao seu dispor.
Obrigado e até breve!"
8;1519768362544504833;4;0;1;0;1;0;1;1;1;USER;RTP_PLAY;"Hoje é dia de ver o último concerto de Simone de Oliveira na @RTP1 💙
@playrtp depois vão ter o concerto, certo? 👀"
9;1519986307371569152;4;1;1;0;1;1;1;1;1;SERVICE;RTP_PLAY;"@IuriPereira09 @RTP1 Certo! Aqui está: 

https://t.co/V4YPsGtsJA"
10;1512391865676578826;5;1;1;1;1;1;1;1;1;USER;RTP_PLAY;.@playrtp por favor, não deixes de existir! (https://t.co/OJngmxOE4M) https://t.co/hDWBLp7o0j
11;1513416615567761408;5;1;1;1;1;1;1;1;1;SERVICE;RTP_PLAY;@tvazpereira @KratosPRT @RebeloNuno Seus lindos! 💙
12;1512878917400551430;6;1;1;1;1;1;1;1;1;USER;RTP_PLAY;Depois de dois dias de trash TV e cartoons, comecei e estou quase a acabar de devorar o 1986 do Markl. Tá muito giro. Na altura em que estreou não tinha achado muito graça ao primeiro episódio, mas agora acho que devia estar de mau humor nesse dia.
13;1513416081855107072;6;1;1;1;1;1;1;1;1;SERVICE;RTP_PLAY;@LeitoraCompuls2 @RitaNobregaGom1 @CarmeSaborido @Playrt Muito amor para vocês! 💙
14;1522102906379452416;7;0;1;0;0;0;1;1;1;SERVICE;RTP_NOTICIAS;🔴 Rússia anunciou cessar-fogo de três dias em Azovstal para retirar civis https://t.co/hkzpxzpJZV
15;1522179925813387264;7;-2;0;-1;-2;-2;0;0;0;USER;RTP_NOTICIAS;@RTPNoticias https://t.co/xgL4A1DCKs Publiquem a verdade seus montes de 💩
16;1522179029662679041;8;0;1;0;0;-1;1;1;0;SERVICE;RTP_NOTICIAS;🔴Rússia continua a bombardear Azovstal apesar de prometer cessar-fogo de três dias https://t.co/hkzpxzpJZV
17;1522102906379452416;8;0;1;0;0;0;1;1;1;SERVICE;RTP_NOTICIAS;🔴 Rússia anunciou cessar-fogo de três dias em Azovstal para retirar civis https://t.co/hkzpxzpJZV
18;1522129882108641281;8;-1;0;-1;-1;-1;0;0;0;USER;RTP_NOTICIAS;@RTPNoticias O batalhão azia vai arranjar maneira de continuarem com escudos humanos
19;1521741875010588672;9;0;1;0;0;0;1;1;1;SERVICE;RTP_NOTICIAS;🔴 Zelensky quer retirar todas as pessoas em Mariupol mesmo com ataques russos https://t.co/NRCXYgsSys
20;1521977872356937728;9;0;1;0;0;-2;1;1;0;USER;RTP_NOTICIAS;"@RTPNoticias A Rússia tem o direito de se defender contra as ameaças e expansão da NATO. a humanidade tem o direito de resistir e lutar contra o NEONAZISMO ucraniano
#ZelenskyWarCriminal 
#PortugalDeixeNato
#StopNato
#WeStandWithRussia"
21;1521828527699550211;10;-1;0;-1;0;-1;0;1;0;SERVICE;RTP_NOTICIAS;"🔴 Costa condena ""guerra ilegal, ilegítima e brutal"" em conversação com homólogo ucraniano e vai visitar Kiev
https://t.co/NRCXYgsSys"
22;1521384445235843073;10;0;1;0;0;0;1;1;1;SERVICE;RTP_NOTICIAS;🔴 Comissão Europeia apresenta hoje novo pacote de sanções contra a Rússia. É já o sexto pacote de medidas com incidência na economia em Moscovo. https://t.co/r1hL6tFfdy
23;1521408394149699584;10;-2;0;-1;0;-2;0;1;0;USER;RTP_NOTICIAS;@RTPNoticias mais um pacote para foder os europeus ,os russos até se riem destes panascas e lésbicas que governam a Europa
24;1521406750909472769;11;0;1;0;0;0;1;1;1;SERVICE;RTP_NOTICIAS;🔴Zelensky declara que evacuação de Mariupol vai continuar https://t.co/YT9TOYjh9Y
25;1521022418696945664;11;-1;0;-1;0;-1;0;1;0;SERVICE;RTP_NOTICIAS;🔴 Oito civis ucranianos mortos em ataques russos nas regiões de Donetsk e Kharkiv https://t.co/qw3ZbHdJRn
26;1521147711151558658;11;0;1;0;0;0;1;1;1;USER;RTP_NOTICIAS;"@RTPNoticias Moradores da cidade de Melitopol, liberada das garras dos nazistas ucranianos pela RÚSSIA, saíram ontem às ruas para celebrar o 1° de maio com as palavras de ordem ""O fascismo não passará"" e ""A Ucrânia é governada por lacaios dos EUA"" https://t.co/037IM6YY2n"
